provinsi,tahun,pulau,rpp,pl,ik,ia,rpp_norm,pl_norm,ik_norm,ia_norm,ikp,status,has_complete_data
ACEH,2018,Sumatera,0.35248274099180127,5.649401980081197,1.046140350877193,0.8403,0.5191,0.648196,0.572632,0.486967,0.551339,SEDANG,True
SUMATERA UTARA,2018,Sumatera,0.14625225245223858,5.1651307173650025,1.070701754385965,0.9077999999999999,0.214981,0.543428,0.631579,0.766239,0.571027,SEDANG,True
SUMATERA BARAT,2018,Sumatera,0.2755572137269839,4.737494314820833,1.024561403508772,0.9335,0.405662,0.450913,0.520842,0.872569,0.589338,SEDANG,True
RIAU,2018,Sumatera,0.039087225050991214,3.7282391633197145,1.0428070175438595,0.9261,0.05695,0.232569,0.564632,0.841953,0.479879,RENDAH,True
JAMBI,2018,Sumatera,0.10728670980029689,4.443547926816197,1.003157894736842,0.9208000000000001,0.157521,0.38732,0.469474,0.820025,0.495818,RENDAH,True
SUMATERA SELATAN,2018,Sumatera,0.3577162345096633,5.14842255579211,1.1073684210526316,0.872,0.526818,0.539813,0.719579,0.618122,0.614636,SEDANG,True
BENGKULU,2018,Sumatera,0.14710462995976165,4.3831451745575585,1.0089473684210526,0.8457,0.216238,0.374252,0.483368,0.509309,0.415901,RENDAH,True
LAMPUNG,2018,Sumatera,0.2973110220416941,4.861189571226509,1.0275438596491229,0.8686,0.437741,0.477673,0.528,0.604055,0.522699,SEDANG,True
KEPULAUAN BANGKA BELITUNG,2018,Sumatera,0.03132042605657922,2.6532306965640937,1.1450877192982456,0.9475,0.045497,0.0,0.810105,0.930492,0.531278,SEDANG,True
KEPULAUAN RIAU,2018,Sumatera,0.0005134565878773695,2.918562268869556,1.1640350877192982,0.938,6.7e-05,0.057402,0.855579,0.891187,0.535524,SEDANG,True
JAKARTA,2018,Jawa,0.0004680289655699492,7.275554301498434,1.2007017543859648,0.9643,0.0,1.0,0.943579,1.0,0.783074,TINGGI,True
JAWA BARAT,2018,Jawa,0.19816404155805742,5.650805225029781,1.150701754385965,0.9255,0.291533,0.648499,0.823579,0.83947,0.686921,SEDANG,True
JAWA TENGAH,2018,Jawa,0.30441706860960027,5.762725146357966,1.0519298245614035,0.8868,0.44822,0.672712,0.586526,0.679355,0.603951,SEDANG,True
DAERAH ISTIMEWA YOGYAKARTA,2018,Jawa,0.13540600331326094,5.480576266983268,1.2242105263157894,0.8787,0.198987,0.611672,1.0,0.645842,0.655884,SEDANG,True
JAWA TIMUR,2018,Jawa,0.25830330878536945,5.826439986435066,1.0864912280701755,0.8902,0.380218,0.686497,0.669474,0.693422,0.622212,SEDANG,True
BANTEN,2018,Jawa,0.13300419237649433,4.8944512937539075,1.1671929824561404,0.9476,0.195445,0.484869,0.863158,0.930906,0.674282,SEDANG,True
BALI,2018,Bali-Nusa,0.15541425376263923,6.0108024653813175,1.1247368421052633,0.9599,0.228492,0.726382,0.761263,0.981796,0.713893,TINGGI,True
NUSA TENGGARA BARAT,2018,Bali-Nusa,0.2912696830683926,5.04883741360496,1.1026315789473684,0.8525,0.428832,0.518269,0.708211,0.537443,0.563116,SEDANG,True
NUSA TENGGARA TIMUR,2018,Bali-Nusa,0.1675390263427348,4.123740456927417,0.9810526315789474,0.7865,0.246372,0.318132,0.416421,0.264377,0.31714,RENDAH,True
KALIMANTAN BARAT,2018,Kalimantan,0.15988867984885138,2.7915606412166487,0.9852631578947367,0.9223,0.23509,0.029926,0.426526,0.826231,0.42883,RENDAH,True
KALIMANTAN TENGAH,2018,Kalimantan,0.19350764980076685,3.488264246346979,1.107719298245614,0.9483,0.284667,0.180652,0.720421,0.933802,0.589331,SEDANG,True
KALIMANTAN SELATAN,2018,Kalimantan,0.3173769120424606,4.10872338495374,1.1787719298245614,0.9546,0.467331,0.314883,0.890947,0.959868,0.711687,TINGGI,True
KALIMANTAN TIMUR,2018,Kalimantan,0.07201652049989038,4.045092175078154,1.0721052631578947,0.9397,0.105509,0.301117,0.634947,0.898221,0.541276,SEDANG,True
KALIMANTAN UTARA,2018,Kalimantan,0.06290274986041318,3.2876289487123365,1.098421052631579,0.9291,0.09207,0.137247,0.698105,0.854365,0.511604,SEDANG,True
SULAWESI UTARA,2018,Sulawesi,0.1315930365480599,4.647015846744585,1.1828070175438596,0.922,0.193364,0.431338,0.900632,0.82499,0.642627,SEDANG,True
SULAWESI TENGAH,2018,Sulawesi,0.30792541190539463,4.605436010191613,1.046140350877193,0.8599,0.453393,0.422343,0.572632,0.56806,0.517355,SEDANG,True
SULAWESI SELATAN,2018,Sulawesi,0.6785928465572275,5.021253722424451,1.1180701754385964,0.9094,1.0,0.512301,0.745263,0.772859,0.757897,TINGGI,True
SULAWESI TENGGARA,2018,Sulawesi,0.2030659607340694,3.942791794327733,1.086842105263158,0.8836999999999999,0.298762,0.278985,0.670316,0.666529,0.516603,SEDANG,True
GORONTALO,2018,Sulawesi,0.22736431885280475,4.7595372480825215,1.055438596491228,0.8319,0.334594,0.455681,0.594947,0.452213,0.472203,RENDAH,True
SULAWESI BARAT,2018,Sulawesi,0.2334599955739156,4.846248869514138,0.9721052631578947,0.8875,0.343583,0.474441,0.394947,0.682251,0.486764,RENDAH,True
MALUKU,2018,Maluku-Papua,0.06552534671327094,4.000698743707004,0.9456140350877192,0.8188,0.095937,0.291513,0.331368,0.398014,0.296305,RENDAH,True
