provinsi,tahun,pulau,rpp,pl,ik,ia,ikp,status,pct_miskin_est,is_prediction,model_version
ACEH,2025,Sumatera,0.288191,5.49584,1.071141,0.861655,0.613398,SEDANG,13.83,True,rf_v1.0
ACEH,2026,Sumatera,0.282466,5.524398,1.071263,0.86445,0.616134,SEDANG,13.55,True,rf_v1.0
ACEH,2027,Sumatera,0.279471,5.499314,1.070571,0.86731,0.61745,SEDANG,13.27,True,rf_v1.0
ACEH,2028,Sumatera,0.278374,5.521551,1.06911,0.871829,0.618217,SEDANG,12.82,True,rf_v1.0
ACEH,2029,Sumatera,0.279818,5.5059,1.067979,0.875447,0.619514,SEDANG,12.46,True,rf_v1.0
ACEH,2030,Sumatera,0.277767,5.528246,1.065151,0.877635,0.620813,SEDANG,12.24,True,rf_v1.0
BALI,2025,Bali-Nusa,0.144303,5.921447,1.148095,0.948673,0.731326,TINGGI,5.13,True,rf_v1.0
BALI,2026,Bali-Nusa,0.140658,5.853332,1.151207,0.948731,0.72402,TINGGI,5.13,True,rf_v1.0
BALI,2027,Bali-Nusa,0.139736,5.820526,1.150437,0.947012,0.723855,TINGGI,5.3,True,rf_v1.0
BALI,2028,Bali-Nusa,0.1404,5.803394,1.150283,0.946862,0.723909,TINGGI,5.31,True,rf_v1.0
BALI,2029,Bali-Nusa,0.140339,5.792824,1.149655,0.946185,0.722974,TINGGI,5.38,True,rf_v1.0
BALI,2030,Bali-Nusa,0.134057,5.784346,1.14994,0.945391,0.721113,TINGGI,5.46,True,rf_v1.0
BANTEN,2025,Jawa,0.132475,5.198936,1.179059,0.940405,0.690313,SEDANG,5.96,True,rf_v1.0
BANTEN,2026,Jawa,0.138825,5.126422,1.172987,0.938856,0.69232,SEDANG,6.11,True,rf_v1.0
BANTEN,2027,Jawa,0.139958,5.1197,1.173999,0.938463,0.693306,SEDANG,6.15,True,rf_v1.0
BANTEN,2028,Jawa,0.140313,5.144082,1.170674,0.937218,0.692229,SEDANG,6.28,True,rf_v1.0
BANTEN,2029,Jawa,0.134504,5.157119,1.16709,0.936945,0.692215,SEDANG,6.31,True,rf_v1.0
BANTEN,2030,Jawa,0.138048,5.158633,1.159215,0.936668,0.691728,SEDANG,6.33,True,rf_v1.0
BENGKULU,2025,Sumatera,0.142244,4.887287,1.056579,0.867966,0.531792,SEDANG,13.2,True,rf_v1.0
BENGKULU,2026,Sumatera,0.145514,4.907902,1.056218,0.875363,0.54013,SEDANG,12.46,True,rf_v1.0
BENGKULU,2027,Sumatera,0.146226,4.92631,1.057195,0.876327,0.541712,SEDANG,12.37,True,rf_v1.0
BENGKULU,2028,Sumatera,0.147281,4.940024,1.055602,0.880215,0.547672,SEDANG,11.98,True,rf_v1.0
BENGKULU,2029,Sumatera,0.14833,4.96331,1.056104,0.882545,0.551781,SEDANG,11.75,True,rf_v1.0
BENGKULU,2030,Sumatera,0.149286,5.009245,1.057516,0.884078,0.558849,SEDANG,11.59,True,rf_v1.0
DAERAH ISTIMEWA YOGYAKARTA,2025,Jawa,0.135602,4.789916,1.115424,0.892099,0.578244,SEDANG,10.79,True,rf_v1.0
DAERAH ISTIMEWA YOGYAKARTA,2026,Jawa,0.139444,4.865737,1.115441,0.895286,0.583995,SEDANG,10.47,True,rf_v1.0
DAERAH ISTIMEWA YOGYAKARTA,2027,Jawa,0.142666,4.983731,1.114989,0.893205,0.594522,SEDANG,10.68,True,rf_v1.0
DAERAH ISTIMEWA YOGYAKARTA,2028,Jawa,0.143532,5.077163,1.114796,0.891738,0.609234,SEDANG,10.83,True,rf_v1.0
DAERAH ISTIMEWA YOGYAKARTA,2029,Jawa,0.142792,5.150673,1.113559,0.890333,0.623419,SEDANG,10.97,True,rf_v1.0
DAERAH ISTIMEWA YOGYAKARTA,2030,Jawa,0.143672,5.171219,1.11459,0.890823,0.626844,SEDANG,10.92,True,rf_v1.0
GORONTALO,2025,Sulawesi,0.202032,4.950458,1.031652,0.857284,0.526894,SEDANG,14.27,True,rf_v1.0
GORONTALO,2026,Sulawesi,0.205863,4.965971,1.035061,0.859158,0.535636,SEDANG,14.08,True,rf_v1.0
GORONTALO,2027,Sulawesi,0.211458,4.985043,1.040809,0.861798,0.538555,SEDANG,13.82,True,rf_v1.0
GORONTALO,2028,Sulawesi,0.213557,5.004383,1.042224,0.862328,0.542608,SEDANG,13.77,True,rf_v1.0
GORONTALO,2029,Sulawesi,0.222392,4.998674,1.045133,0.866549,0.551204,SEDANG,13.35,True,rf_v1.0
GORONTALO,2030,Sulawesi,0.220163,5.021838,1.047192,0.869013,0.55771,SEDANG,13.1,True,rf_v1.0
JAKARTA,2025,Jawa,0.023832,4.77499,1.217503,0.951548,0.654832,SEDANG,4.85,True,rf_v1.0
JAKARTA,2026,Jawa,0.042143,4.810281,1.206096,0.948719,0.654992,SEDANG,5.13,True,rf_v1.0
JAKARTA,2027,Jawa,0.052067,4.899186,1.195389,0.946976,0.652828,SEDANG,5.3,True,rf_v1.0
JAKARTA,2028,Jawa,0.055568,4.880485,1.190924,0.944734,0.65198,SEDANG,5.53,True,rf_v1.0
JAKARTA,2029,Jawa,0.059623,4.908444,1.189195,0.942735,0.651826,SEDANG,5.73,True,rf_v1.0
JAKARTA,2030,Jawa,0.066495,4.91074,1.187441,0.941643,0.653199,SEDANG,5.84,True,rf_v1.0
JAMBI,2025,Sumatera,0.071993,4.498715,1.051296,0.925972,0.528591,SEDANG,7.4,True,rf_v1.0
JAMBI,2026,Sumatera,0.0716,4.438138,1.049951,0.926533,0.526253,SEDANG,7.35,True,rf_v1.0
JAMBI,2027,Sumatera,0.0671,4.396177,1.053828,0.926885,0.526602,SEDANG,7.31,True,rf_v1.0
JAMBI,2028,Sumatera,0.067919,4.321187,1.053776,0.92736,0.527151,SEDANG,7.26,True,rf_v1.0
JAMBI,2029,Sumatera,0.065473,4.201656,1.055452,0.927755,0.527447,SEDANG,7.22,True,rf_v1.0
JAMBI,2030,Sumatera,0.064886,4.13811,1.055014,0.92843,0.527234,SEDANG,7.16,True,rf_v1.0
JAWA BARAT,2025,Jawa,0.177617,5.704003,1.12221,0.924553,0.693214,SEDANG,7.54,True,rf_v1.0
JAWA BARAT,2026,Jawa,0.172921,5.671546,1.125219,0.923819,0.695413,SEDANG,7.62,True,rf_v1.0
JAWA BARAT,2027,Jawa,0.175787,5.671261,1.125055,0.921774,0.69594,SEDANG,7.82,True,rf_v1.0
JAWA BARAT,2028,Jawa,0.176127,5.669728,1.125693,0.921197,0.69518,SEDANG,7.88,True,rf_v1.0
JAWA BARAT,2029,Jawa,0.178609,5.667112,1.125946,0.921142,0.694306,SEDANG,7.89,True,rf_v1.0
JAWA BARAT,2030,Jawa,0.186919,5.675235,1.125656,0.921157,0.693981,SEDANG,7.88,True,rf_v1.0
JAWA TENGAH,2025,Jawa,0.239661,5.655129,1.053059,0.892867,0.626719,SEDANG,10.71,True,rf_v1.0
JAWA TENGAH,2026,Jawa,0.238246,5.6332,1.05319,0.891668,0.62503,SEDANG,10.83,True,rf_v1.0
JAWA TENGAH,2027,Jawa,0.24294,5.638477,1.055207,0.89125,0.626467,SEDANG,10.88,True,rf_v1.0
JAWA TENGAH,2028,Jawa,0.247377,5.629576,1.055279,0.891797,0.628451,SEDANG,10.82,True,rf_v1.0
JAWA TENGAH,2029,Jawa,0.248122,5.630712,1.055427,0.89178,0.627826,SEDANG,10.82,True,rf_v1.0
JAWA TENGAH,2030,Jawa,0.251843,5.631812,1.055199,0.891871,0.626378,SEDANG,10.81,True,rf_v1.0
JAWA TIMUR,2025,Jawa,0.236891,5.673281,1.058943,0.895211,0.631994,SEDANG,10.48,True,rf_v1.0
JAWA TIMUR,2026,Jawa,0.232171,5.654842,1.058981,0.89776,0.628119,SEDANG,10.22,True,rf_v1.0
JAWA TIMUR,2027,Jawa,0.24056,5.651421,1.056267,0.894123,0.626829,SEDANG,10.59,True,rf_v1.0
JAWA TIMUR,2028,Jawa,0.24038,5.651915,1.056446,0.891882,0.626065,SEDANG,10.81,True,rf_v1.0
JAWA TIMUR,2029,Jawa,0.242107,5.641515,1.058969,0.89144,0.626221,SEDANG,10.86,True,rf_v1.0
JAWA TIMUR,2030,Jawa,0.244447,5.634756,1.055925,0.891819,0.627083,SEDANG,10.82,True,rf_v1.0
KALIMANTAN BARAT,2025,Kalimantan,0.127679,3.208964,1.032092,0.934936,0.492223,RENDAH,6.51,True,rf_v1.0
KALIMANTAN BARAT,2026,Kalimantan,0.127368,3.256563,1.035534,0.934569,0.498882,RENDAH,6.54,True,rf_v1.0
KALIMANTAN BARAT,2027,Kalimantan,0.123232,3.329525,1.043606,0.934865,0.499631,RENDAH,6.51,True,rf_v1.0
KALIMANTAN BARAT,2028,Kalimantan,0.125388,3.401372,1.044588,0.934794,0.504689,SEDANG,6.52,True,rf_v1.0
KALIMANTAN BARAT,2029,Kalimantan,0.124625,3.427272,1.046583,0.934525,0.505943,SEDANG,6.55,True,rf_v1.0
KALIMANTAN BARAT,2030,Kalimantan,0.124351,3.425543,1.050616,0.934395,0.507246,SEDANG,6.56,True,rf_v1.0
KALIMANTAN SELATAN,2025,Kalimantan,0.229035,4.131423,1.186623,0.951597,0.682115,SEDANG,4.84,True,rf_v1.0
KALIMANTAN SELATAN,2026,Kalimantan,0.221068,4.115856,1.184977,0.948217,0.678025,SEDANG,5.18,True,rf_v1.0
KALIMANTAN SELATAN,2027,Kalimantan,0.213046,4.079314,1.183537,0.946896,0.666195,SEDANG,5.31,True,rf_v1.0
KALIMANTAN SELATAN,2028,Kalimantan,0.211409,4.080962,1.17922,0.945739,0.662208,SEDANG,5.43,True,rf_v1.0
KALIMANTAN SELATAN,2029,Kalimantan,0.206762,4.129226,1.177063,0.944134,0.657339,SEDANG,5.59,True,rf_v1.0
KALIMANTAN SELATAN,2030,Kalimantan,0.205472,4.118877,1.172563,0.943038,0.64848,SEDANG,5.7,True,rf_v1.0
KALIMANTAN TENGAH,2025,Kalimantan,0.126358,3.418253,1.131041,0.946133,0.549081,SEDANG,5.39,True,rf_v1.0
KALIMANTAN TENGAH,2026,Kalimantan,0.125329,3.427141,1.128513,0.945028,0.54637,SEDANG,5.5,True,rf_v1.0
KALIMANTAN TENGAH,2027,Kalimantan,0.124616,3.440828,1.13146,0.943943,0.548126,SEDANG,5.61,True,rf_v1.0
KALIMANTAN TENGAH,2028,Kalimantan,0.123675,3.47261,1.131852,0.94253,0.548052,SEDANG,5.75,True,rf_v1.0
KALIMANTAN TENGAH,2029,Kalimantan,0.123732,3.487209,1.132544,0.941709,0.548361,SEDANG,5.83,True,rf_v1.0
KALIMANTAN TENGAH,2030,Kalimantan,0.118319,3.505704,1.133693,0.939836,0.548779,SEDANG,6.02,True,rf_v1.0
KALIMANTAN TIMUR,2025,Kalimantan,0.061714,3.962396,1.137628,0.940755,0.561147,SEDANG,5.92,True,rf_v1.0
KALIMANTAN TIMUR,2026,Kalimantan,0.054364,3.921351,1.140531,0.94039,0.563999,SEDANG,5.96,True,rf_v1.0
KALIMANTAN TIMUR,2027,Kalimantan,0.061051,3.931945,1.135287,0.94008,0.55974,SEDANG,5.99,True,rf_v1.0
KALIMANTAN TIMUR,2028,Kalimantan,0.05992,3.92222,1.134949,0.940091,0.558566,SEDANG,5.99,True,rf_v1.0
