provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,rpp_ikan_norm,rpp_kebun_norm,npi_norm,kps_norm,ipsda,status,n_komponen,has_complete_data
ACEH,2018,Sumatera,0.05493267727047336,0.03114391425410993,1939231.4025250792,0.295066,0.156238,0.085219,0.318429,0.710486,0.317593,KURANG,4,True
SUMATERA UTARA,2018,Sumatera,0.02545799944736115,0.05516285576126002,946402.2295523626,0.205291,0.070403,0.153167,0.151907,0.493747,0.217306,RENDAH,4,True
SUMATERA BARAT,2018,Sumatera,0.03914058169185853,0.03613169370634539,1192053.482759895,0.221461,0.110249,0.099329,0.193109,0.532785,0.233868,RENDAH,4,True
RIAU,2018,Sumatera,0.017866797665833035,0.17179126473740622,539293.5097356199,0.229265,0.048296,0.483103,0.083625,0.551626,0.291662,RENDAH,4,True
JAMBI,2018,Sumatera,0.012931019817980777,0.11124223866632645,359080.325479856,0.278944,0.033922,0.311813,0.053399,0.671564,0.267675,RENDAH,4,True
SUMATERA SELATAN,2018,Sumatera,0.012346183638205327,0.07733122802836204,792454.2982780194,0.14482,0.032219,0.21588,0.126087,0.347755,0.180485,RENDAH,4,True
BENGKULU,2018,Sumatera,0.034537103561531356,0.08014728523042185,1268401.8562044546,0.281767,0.096843,0.223847,0.205915,0.678379,0.301246,KURANG,4,True
LAMPUNG,2018,Sumatera,0.016323095837759767,0.02259420843429581,609524.1010062428,0.287943,0.043801,0.061032,0.095405,0.693289,0.223382,RENDAH,4,True
KEPULAUAN BANGKA BELITUNG,2018,Sumatera,0.1595733538160743,0.08422072480972,6002862.856644089,0.179298,0.460969,0.235371,1.0,0.430994,0.531833,CUKUP,4,True
KEPULAUAN RIAU,2018,Sumatera,0.046413463306970756,0.004017610814787567,2012996.8360308993,0.030728,0.131429,0.00848,0.330802,0.072309,0.135755,RENDAH,4,True
JAKARTA,2018,Jawa,0.009942558496355964,0.0,235070.76687763713,0.000777,0.025219,0.0,0.0326,0.0,0.014455,RENDAH,3,False
JAWA BARAT,2018,Jawa,0.005132035770647028,0.0010201029385978485,231081.33271446402,0.087813,0.01121,0.0,0.031931,0.210126,0.063317,RENDAH,4,True
JAWA TENGAH,2018,Jawa,0.011730081348138015,0.0017029992578255744,381831.3387371393,0.135295,0.030425,0.001932,0.057215,0.32476,0.103583,RENDAH,4,True
DAERAH ISTIMEWA YOGYAKARTA,2018,Jawa,0.0012825079223738312,0.002530576434538931,40706.10585862819,0.09385,0.0,0.004273,0.0,0.224701,0.057244,RENDAH,4,True
JAWA TIMUR,2018,Jawa,0.01184052386145403,0.00494630824935036,307257.7307012062,0.113575,0.030747,0.011107,0.044707,0.272322,0.089721,RENDAH,4,True
BANTEN,2018,Jawa,0.00801920068950107,0.0010444265330226323,204628.7713474,0.055976,0.019618,6.9e-05,0.027494,0.133264,0.045111,RENDAH,4,True
BALI,2018,Bali-Nusa,0.025389631486122714,0.0025497772208298523,636734.9561403509,0.134485,0.070204,0.004327,0.099969,0.322804,0.124326,RENDAH,4,True
NUSA TENGGARA BARAT,2018,Bali-Nusa,0.040231403982117886,0.0024592827461252143,733699.6104535518,0.229168,0.113426,0.004071,0.116232,0.551392,0.19628,RENDAH,4,True
NUSA TENGGARA TIMUR,2018,Bali-Nusa,0.029418316139022068,0.0026607652556759885,759022.5625431412,0.279247,0.081936,0.004641,0.120479,0.672295,0.219838,RENDAH,4,True
KALIMANTAN BARAT,2018,Kalimantan,0.022467753906641793,0.08648271850113337,886111.9120980522,0.200915,0.061695,0.24177,0.141795,0.483182,0.23211,RENDAH,4,True
KALIMANTAN TENGAH,2018,Kalimantan,0.033556610273290974,0.35450796141774477,1538997.946872847,0.200794,0.093987,1.0,0.2513,0.48289,0.457044,KURANG,4,True
KALIMANTAN SELATAN,2018,Kalimantan,0.06009154816729487,0.05043365616799351,2322220.3460071944,0.143099,0.171261,0.139789,0.382666,0.3436,0.259329,RENDAH,4,True
KALIMANTAN TIMUR,2018,Kalimantan,0.02965191113100901,0.13570289327886284,1021876.1766187252,0.079542,0.082616,0.381011,0.164566,0.190158,0.204588,RENDAH,4,True
KALIMANTAN UTARA,2018,Kalimantan,0.04712214411247803,0.056348857644991215,2217041.7603983595,0.158667,0.133492,0.156522,0.365025,0.381185,0.259056,RENDAH,4,True
SULAWESI UTARA,2018,Sulawesi,0.14900986097639832,0.013755860006466215,5440350.9824603945,0.208274,0.430206,0.036029,0.905653,0.500949,0.468209,KURANG,4,True
SULAWESI TENGAH,2018,Sulawesi,0.05614810619940704,0.0295854292281555,1189415.3572737267,0.232002,0.159778,0.08081,0.192667,0.558234,0.247872,RENDAH,4,True
SULAWESI SELATAN,2018,Sulawesi,0.03885060756049885,0.005624078371303483,927622.3951486609,0.213466,0.109404,0.013024,0.148758,0.513484,0.196168,RENDAH,4,True
SULAWESI TENGGARA,2018,Sulawesi,0.0908225339228541,0.013083168165878945,2069423.5592315902,0.237267,0.260755,0.034126,0.340266,0.570945,0.301523,KURANG,4,True
GORONTALO,2018,Sulawesi,0.12440614012520367,0.013506560329302805,3035633.581167996,0.389305,0.358556,0.035324,0.502323,0.938002,0.458551,KURANG,4,True
SULAWESI BARAT,2018,Sulawesi,0.048748600850682784,0.04643310200731289,1462166.8353107977,0.414985,0.138229,0.128471,0.238414,1.0,0.376278,KURANG,4,True
MALUKU,2018,Maluku-Papua,0.34466990568733924,0.009759931408973993,4217810.944841383,0.233516,1.0,0.024725,0.700603,0.561889,0.571804,CUKUP,4,True
MALUKU UTARA,2018,Maluku-Papua,0.23517312110272398,0.02250164095831966,4305492.340827043,0.21918,0.681128,0.06077,0.715309,0.527279,0.496121,KURANG,4,True
PAPUA BARAT,2018,Maluku-Papua,0.21688973868706182,0.01581421287444232,5461844.275547057,0.106148,0.627883,0.041852,0.909258,0.254392,0.458346,KURANG,4,True
