provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,ipsda,status,is_prediction,model_version
ACEH,2025,Sumatera,0.057453,0.03457,594947.050201,0.319872,0.265834,RENDAH,True,sda_rf_v2.0
ACEH,2026,Sumatera,0.051788,0.032245,840536.379156,0.319803,0.26805,RENDAH,True,sda_rf_v2.0
ACEH,2027,Sumatera,0.046105,0.034184,746643.979808,0.314671,0.26504,RENDAH,True,sda_rf_v2.0
ACEH,2028,Sumatera,0.041274,0.033429,584407.200135,0.315729,0.263111,RENDAH,True,sda_rf_v2.0
ACEH,2029,Sumatera,0.0386,0.033448,499955.818594,0.308086,0.258465,RENDAH,True,sda_rf_v2.0
ACEH,2030,Sumatera,0.037737,0.034549,473545.706797,0.305708,0.256466,RENDAH,True,sda_rf_v2.0
BALI,2025,Bali-Nusa,0.028381,0.0027,261304.601942,0.140302,0.11281,RENDAH,True,sda_rf_v2.0
BALI,2026,Bali-Nusa,0.028235,0.004471,429978.378295,0.143928,0.125274,RENDAH,True,sda_rf_v2.0
BALI,2027,Bali-Nusa,0.029325,0.005671,400115.130552,0.143018,0.129038,RENDAH,True,sda_rf_v2.0
BALI,2028,Bali-Nusa,0.029625,0.005662,342713.103085,0.143283,0.135183,RENDAH,True,sda_rf_v2.0
BALI,2029,Bali-Nusa,0.029622,0.005676,378642.356429,0.140417,0.139883,RENDAH,True,sda_rf_v2.0
BALI,2030,Bali-Nusa,0.029111,0.006224,393919.472054,0.139605,0.137774,RENDAH,True,sda_rf_v2.0
BANTEN,2025,Jawa,0.005901,0.001094,93532.088481,0.062118,0.04215,RENDAH,True,sda_rf_v2.0
BANTEN,2026,Jawa,0.006312,0.001452,159605.647815,0.062228,0.047351,RENDAH,True,sda_rf_v2.0
BANTEN,2027,Jawa,0.006782,0.001171,162873.044529,0.064997,0.050018,RENDAH,True,sda_rf_v2.0
BANTEN,2028,Jawa,0.006766,0.001197,108437.912436,0.070709,0.051073,RENDAH,True,sda_rf_v2.0
BANTEN,2029,Jawa,0.00643,0.001584,106021.187671,0.069454,0.050233,RENDAH,True,sda_rf_v2.0
