kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran,hortikultura,padi,ttplahan,hahutan,kebun,ikan,proktam,komposit,ketersediaan,keterjangkauan,pemanfaatan,spk,spe
1100,ACEH,ACEH,provinsi,2020,14.31,9.33,69.93,9492.0,2814187.0,55.28,5647.3,6871.76,1389.9,446022.0,7410.19,74.06,80.18,71.44,70.55,25018.0,-0.37
1100,ACEH,ACEH,provinsi,2021,14.36,9.37,69.96,9572.0,2299763.0,55.03,5653.3,16064.0,1301.7,364468.0,12305.34,71.63,81.05,69.86,68.67,25356.0,2.81
1100,ACEH,ACEH,provinsi,2022,14.37,9.44,70.18,9963.0,2624460.0,55.55,5652.7,13700.0,1217.6,324618.0,19123.72,70.16,80.17,69.34,66.25,26062.0,4.21
1100,ACEH,ACEH,provinsi,2023,14.38,9.55,70.34,10334.0,2743448.0,55.22,5659.3,22046.86,1282.75,401037.16,16950.1,72.96,77.07,74.49,69.62,26800.0,4.23
1100,ACEH,ACEH,provinsi,2024,14.39,9.64,70.44,10811.0,2386931.0,55.11,,,1316.28,520709.23,17146.85,73.94,77.74,74.71,71.24,27684.0,4.66
1100,ACEH,ACEH,provinsi,2025,14.4,9.95,,11191.0,2871967.0,57.04,,,,,15451.55,70.0,62.46,81.51,66.2,28145.0,2.97
1101,Simeulue,ACEH,kab_kota,2020,13.76,9.34,65.26,7085.0,,,,,,,,74.3,81.41,69.11,72.87,,
1101,Simeulue,ACEH,kab_kota,2021,13.9,9.48,65.28,7148.0,,,,,,,,74.3,81.41,69.11,72.87,,
1101,Simeulue,ACEH,kab_kota,2022,14.08,9.73,65.48,7371.0,,,,,,,,74.63,82.13,69.4,72.92,,
1101,Simeulue,ACEH,kab_kota,2023,14.28,9.81,65.61,7686.0,,,,,,,,72.51,75.01,69.21,73.1,,
1101,Simeulue,ACEH,kab_kota,2024,14.53,9.89,65.73,8106.0,,,,,,,,77.54,86.75,72.56,74.36,,
1101,Simeulue,ACEH,kab_kota,2025,14.59,10.09,,8555.0,,,,,,,,62.12,53.62,71.59,61.29,,
1102,Aceh Singkil,ACEH,kab_kota,2020,14.31,8.53,67.39,8707.0,,,,,,,,51.97,16.68,67.46,66.82,,
1102,Aceh Singkil,ACEH,kab_kota,2021,14.32,8.68,67.43,8776.0,,,,,,,,51.97,16.68,67.46,66.82,,
1102,Aceh Singkil,ACEH,kab_kota,2022,14.34,8.69,67.65,8994.0,,,,,,,,51.88,20.95,65.78,64.65,,
1102,Aceh Singkil,ACEH,kab_kota,2023,14.35,8.7,67.78,9374.0,,,,,,,,47.06,0.0,70.04,65.13,,
1102,Aceh Singkil,ACEH,kab_kota,2024,14.36,8.72,67.89,9862.0,,,,,,,,46.1,0.0,65.88,65.85,,
1102,Aceh Singkil,ACEH,kab_kota,2025,14.37,9.05,,10227.0,,,,,,,,56.42,36.5,72.52,60.47,,
1103,Aceh Selatan,ACEH,kab_kota,2020,14.42,8.87,64.35,8089.0,,,,,,,,75.55,90.2,74.34,65.47,,
1103,Aceh Selatan,ACEH,kab_kota,2021,14.6,8.88,64.4,8180.0,,,,,,,,75.55,90.2,74.34,65.47,,
1103,Aceh Selatan,ACEH,kab_kota,2022,14.69,8.89,64.64,8353.0,,,,,,,,71.02,86.03,72.02,59.01,,
1103,Aceh Selatan,ACEH,kab_kota,2023,14.7,8.91,64.81,8712.0,,,,,,,,71.11,82.1,74.57,60.27,,
1103,Aceh Selatan,ACEH,kab_kota,2024,14.71,8.92,64.97,9190.0,,,,,,,,73.84,85.0,77.88,62.44,,
1103,Aceh Selatan,ACEH,kab_kota,2025,14.72,9.25,,9573.0,,,,,,,,77.25,80.58,84.59,66.67,,
1104,Aceh Tenggara,ACEH,kab_kota,2020,14.0,9.66,68.14,8020.0,,,,,,,,76.22,97.44,73.25,62.52,,
