kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran,ttplahan,ikan,hortikultura,proktam,kebun,hahutan,padi,pemanfaatan,ketersediaan,keterjangkauan,spk,spe
1100,ACEH,ACEH,provinsi,2024,,,,,5655.416,,,,,1,,,,,,
1100,ACEH,ACEH,provinsi,2025,,,70.5796,,5656.4453,445225.9283,,,1333.09,1,,,,,,
1100,ACEH,ACEH,provinsi,2026,14.41,9.9267,70.7214,11519.3567,5657.4694,457981.667,2679196.39,15392.3755,1348.6856,1,56.6875,67.9482,59.2818,84.6929,22835,3.28
1100,ACEH,ACEH,provinsi,2027,14.42,10.0338,70.8631,11847.7134,5658.4884,470673.6271,2692992.891,15333.2009,1363.1545,1,57.0629,67.8293,51.8011,89.1258,23363,3.85
1100,ACEH,ACEH,provinsi,2028,14.43,10.1408,71.0049,12176.0702,5659.5023,483302.1273,2706720.41,15274.0264,1376.5781,1,57.3631,67.7342,44.3578,93.5366,24014,2.61
1100,ACEH,ACEH,provinsi,2029,14.44,10.2479,71.1466,12504.4269,5660.5111,495867.485,2720379.291,15214.8518,1389.032,1,57.6033,67.658,36.9517,97.9253,24842,1.55
1100,ACEH,ACEH,provinsi,2030,14.45,10.3549,71.2884,12832.7836,5661.5149,508370.0159,2733969.878,15155.6773,1400.5862,1,57.7955,67.5971,29.5826,100,25018,-0.73
1100,ACEH,ACEH,provinsi,2031,14.46,10.462,71.4301,13161.1403,5662.5137,520810.0342,2747492.512,15096.5028,1411.3057,1,57.9492,67.5484,22.2504,100,25356,3.29
1100,ACEH,ACEH,provinsi,2032,14.47,10.569,71.5719,13489.4971,5663.5075,533187.8523,2760947.532,15037.3282,1421.2508,1,58.0722,67.5095,14.9549,100,26062,4.18
1100,ACEH,ACEH,provinsi,2033,14.48,10.6761,71.7136,13817.8538,5664.4963,545503.7814,2774335.278,14978.1537,1430.4775,1,58.1706,67.4783,7.6958,100,26800,4.61
1100,ACEH,ACEH,provinsi,2034,14.49,10.7831,71.8554,14146.2105,5665.4802,557758.1309,2787656.085,14918.9791,1439.0376,1,58.2493,67.4533,0.473,100,27684,4.14
1100,ACEH,ACEH,provinsi,2035,14.5,10.8901,71.9971,14474.5672,5666.4591,569951.2086,2800910.287,14859.8046,1446.9793,1,58.3122,67.4334,0,100,28145,-0.37
1100,ACEH,ACEH,provinsi,2036,14.51,10.9972,72.1388,14802.9239,5667.4331,582083.3209,2814098.219,14800.63,1454.3472,1,58.3626,67.4174,0,100,,2.81
1100,ACEH,ACEH,provinsi,2037,14.52,11.1042,72.2806,15131.2807,5668.4023,594154.7726,2827220.211,14741.4555,1461.1829,1,58.4029,67.4046,0,100,,4.21
1100,ACEH,ACEH,provinsi,2038,14.53,11.2113,72.4223,15459.6374,5669.3667,606165.8671,2840276.593,14682.2809,1467.5248,1,58.4351,67.3944,0,100,,4.23
1100,ACEH,ACEH,provinsi,2039,14.54,11.3183,72.5641,15787.9941,5670.3262,618116.9061,2853267.693,14623.1064,1473.4085,1,58.4609,67.3862,0,100,,4.66
1100,ACEH,ACEH,provinsi,2040,14.55,11.4254,72.7058,16116.3508,5671.2809,630008.1899,2866193.838,14563.9319,1478.8672,1,58.4816,67.3797,0,100,,2.97
1100,ACEH,ACEH,provinsi,2041,14.56,11.5324,72.8476,16444.7075,5672.2308,641840.0173,2879055.352,14504.7573,1483.9315,1,58.4981,67.3745,0,100,,
1100,ACEH,ACEH,provinsi,2042,14.57,11.6395,72.9893,16773.0643,5673.176,653612.6856,2891852.559,14445.5828,1488.63,1,58.5113,67.3703,0,100,,
1100,ACEH,ACEH,provinsi,2043,14.58,11.7465,73.1311,17101.421,5674.1165,665326.4905,2904585.779,14386.4082,1492.989,1,58.5218,67.3669,0,100,,
1100,ACEH,ACEH,provinsi,2044,14.59,11.8535,73.2728,17429.7777,5675.0522,676981.7264,2917255.333,14327.2337,1497.0331,1,58.5303,67.3643,0,100,,
1100,ACEH,ACEH,provinsi,2045,14.6,11.9606,73.4146,17758.1344,5675.9833,688578.6861,2929861.54,14268.0591,1500.7851,1,58.5371,67.3621,0,100,,
1101,Simeulue,ACEH,kab_kota,2024,,,,,,,,,,,,,,,,
1101,Simeulue,ACEH,kab_kota,2025,,,65.866,,,,,,,,,,,,,
1101,Simeulue,ACEH,kab_kota,2026,14.7327,10.2089,65.9925,8743.4686,,,,,,,,67.6642,67.4321,72.2388,,
1101,Simeulue,ACEH,kab_kota,2027,14.8753,10.3367,66.119,8931.9372,,,,,,,,66.8072,65.1294,72.7007,,
1101,Simeulue,ACEH,kab_kota,2028,15.018,10.4645,66.2455,9120.4059,,,,,,,,65.9545,62.8382,73.0702,,
1101,Simeulue,ACEH,kab_kota,2029,15.1607,10.5923,66.372,9308.8745,,,,,,,,65.1061,60.5585,73.3658,,
1101,Simeulue,ACEH,kab_kota,2030,15.3033,10.7201,66.4985,9497.3431,,,,,,,,64.2619,58.2901,73.6022,,
1101,Simeulue,ACEH,kab_kota,2031,15.446,10.8479,66.625,9685.8117,,,,,,,,63.4219,56.0331,73.7914,,
1101,Simeulue,ACEH,kab_kota,2032,15.5887,10.9757,66.7515,9874.2803,,,,,,,,62.5861,53.7874,73.9428,,
1101,Simeulue,ACEH,kab_kota,2033,15.7313,11.1035,66.878,10062.7489,,,,,,,,61.7545,51.5529,74.0639,,
1101,Simeulue,ACEH,kab_kota,2034,15.874,11.2313,67.0045,10251.2176,,,,,,,,60.927,49.3296,74.1607,,
1101,Simeulue,ACEH,kab_kota,2035,16.0167,11.3591,67.131,10439.6862,,,,,,,,60.1037,47.1174,74.2382,,
1101,Simeulue,ACEH,kab_kota,2036,16.1593,11.4868,67.2575,10628.1548,,,,,,,,59.2845,44.9163,74.3002,,
1101,Simeulue,ACEH,kab_kota,2037,16.302,11.6146,67.384,10816.6234,,,,,,,,58.4694,42.7261,74.3498,,
1101,Simeulue,ACEH,kab_kota,2038,16.4446,11.7424,67.5105,11005.092,,,,,,,,57.6584,40.547,74.3895,,
1101,Simeulue,ACEH,kab_kota,2039,16.5873,11.8702,67.637,11193.5606,,,,,,,,56.8514,38.3787,74.4212,,
1101,Simeulue,ACEH,kab_kota,2040,16.73,11.998,67.7635,11382.0293,,,,,,,,56.0485,36.2212,74.4466,,
1101,Simeulue,ACEH,kab_kota,2041,16.8726,12.1258,67.89,11570.4979,,,,,,,,55.2496,34.0746,74.4669,,
1101,Simeulue,ACEH,kab_kota,2042,17.0153,12.2536,68.0165,11758.9665,,,,,,,,54.4547,31.9387,74.4832,,
1101,Simeulue,ACEH,kab_kota,2043,17.158,12.3814,68.143,11947.4351,,,,,,,,53.6637,29.8134,74.4962,,
1101,Simeulue,ACEH,kab_kota,2044,17.3006,12.5092,68.2695,12135.9037,,,,,,,,52.8767,27.6988,74.5066,,
1101,Simeulue,ACEH,kab_kota,2045,17.4433,12.637,68.396,12324.3724,,,,,,,,52.0937,25.5948,74.5149,,
1102,Aceh Singkil,ACEH,kab_kota,2024,,,,,,,,,,,,,,,,
1102,Aceh Singkil,ACEH,kab_kota,2025,,,67.9743,,,,,,,,,,,,,
