kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran
1100,ACEH,ACEH,provinsi,2025,,,70.5796,
1100,ACEH,ACEH,provinsi,2026,14.41,9.9267,70.7214,11519.3567
1100,ACEH,ACEH,provinsi,2027,14.42,10.0338,70.8631,11847.7134
1100,ACEH,ACEH,provinsi,2028,14.43,10.1408,71.0049,12176.0702
1100,ACEH,ACEH,provinsi,2029,14.44,10.2479,71.1466,12504.4269
1100,ACEH,ACEH,provinsi,2030,14.45,10.3549,71.2884,12832.7836
1100,ACEH,ACEH,provinsi,2031,14.46,10.462,71.4301,13161.1403
1100,ACEH,ACEH,provinsi,2032,14.47,10.569,71.5719,13489.4971
1100,ACEH,ACEH,provinsi,2033,14.48,10.6761,71.7136,13817.8538
1100,ACEH,ACEH,provinsi,2034,14.49,10.7831,71.8554,14146.2105
1100,ACEH,ACEH,provinsi,2035,14.5,10.8901,71.9971,14474.5672
1100,ACEH,ACEH,provinsi,2036,14.51,10.9972,72.1388,14802.9239
1100,ACEH,ACEH,provinsi,2037,14.52,11.1042,72.2806,15131.2807
1100,ACEH,ACEH,provinsi,2038,14.53,11.2113,72.4223,15459.6374
1100,ACEH,ACEH,provinsi,2039,14.54,11.3183,72.5641,15787.9941
1100,ACEH,ACEH,provinsi,2040,14.55,11.4254,72.7058,16116.3508
1100,ACEH,ACEH,provinsi,2041,14.56,11.5324,72.8476,16444.7075
1100,ACEH,ACEH,provinsi,2042,14.57,11.6395,72.9893,16773.0643
1100,ACEH,ACEH,provinsi,2043,14.58,11.7465,73.1311,17101.421
1100,ACEH,ACEH,provinsi,2044,14.59,11.8535,73.2728,17429.7777
1100,ACEH,ACEH,provinsi,2045,14.6,11.9606,73.4146,17758.1344
1101,Simeulue,ACEH,kab_kota,2025,,,65.866,
1101,Simeulue,ACEH,kab_kota,2026,14.7327,10.2089,65.9925,8743.4686
1101,Simeulue,ACEH,kab_kota,2027,14.8753,10.3367,66.119,8931.9372
1101,Simeulue,ACEH,kab_kota,2028,15.018,10.4645,66.2455,9120.4059
1101,Simeulue,ACEH,kab_kota,2029,15.1607,10.5923,66.372,9308.8745
1101,Simeulue,ACEH,kab_kota,2030,15.3033,10.7201,66.4985,9497.3431
1101,Simeulue,ACEH,kab_kota,2031,15.446,10.8479,66.625,9685.8117
1101,Simeulue,ACEH,kab_kota,2032,15.5887,10.9757,66.7515,9874.2803
1101,Simeulue,ACEH,kab_kota,2033,15.7313,11.1035,66.878,10062.7489
1101,Simeulue,ACEH,kab_kota,2034,15.874,11.2313,67.0045,10251.2176
1101,Simeulue,ACEH,kab_kota,2035,16.0167,11.3591,67.131,10439.6862
1101,Simeulue,ACEH,kab_kota,2036,16.1593,11.4868,67.2575,10628.1548
1101,Simeulue,ACEH,kab_kota,2037,16.302,11.6146,67.384,10816.6234
1101,Simeulue,ACEH,kab_kota,2038,16.4446,11.7424,67.5105,11005.092
1101,Simeulue,ACEH,kab_kota,2039,16.5873,11.8702,67.637,11193.5606
1101,Simeulue,ACEH,kab_kota,2040,16.73,11.998,67.7635,11382.0293
1101,Simeulue,ACEH,kab_kota,2041,16.8726,12.1258,67.89,11570.4979
1101,Simeulue,ACEH,kab_kota,2042,17.0153,12.2536,68.0165,11758.9665
1101,Simeulue,ACEH,kab_kota,2043,17.158,12.3814,68.143,11947.4351
1101,Simeulue,ACEH,kab_kota,2044,17.3006,12.5092,68.2695,12135.9037
1101,Simeulue,ACEH,kab_kota,2045,17.4433,12.637,68.396,12324.3724
1102,Aceh Singkil,ACEH,kab_kota,2025,,,67.9743,
1102,Aceh Singkil,ACEH,kab_kota,2026,14.3798,9.2072,68.0586,10436.7347
1102,Aceh Singkil,ACEH,kab_kota,2027,14.3896,9.3669,68.1429,10646.4694
1102,Aceh Singkil,ACEH,kab_kota,2028,14.3995,9.5267,68.2271,10856.2041
1102,Aceh Singkil,ACEH,kab_kota,2029,14.4093,9.6865,68.3114,11065.9388
1102,Aceh Singkil,ACEH,kab_kota,2030,14.4191,9.8463,68.3957,11275.6735
1102,Aceh Singkil,ACEH,kab_kota,2031,14.4289,10.006,68.48,11485.4082
1102,Aceh Singkil,ACEH,kab_kota,2032,14.4387,10.1658,68.5643,11695.1429
1102,Aceh Singkil,ACEH,kab_kota,2033,14.4485,10.3256,68.6486,11904.8776
1102,Aceh Singkil,ACEH,kab_kota,2034,14.4584,10.4854,68.7329,12114.6123
1102,Aceh Singkil,ACEH,kab_kota,2035,14.4682,10.6451,68.8171,12324.347
1102,Aceh Singkil,ACEH,kab_kota,2036,14.478,10.8049,68.9014,12534.0817
1102,Aceh Singkil,ACEH,kab_kota,2037,14.4878,10.9647,68.9857,12743.8164
1102,Aceh Singkil,ACEH,kab_kota,2038,14.4976,11.1244,69.07,12953.5511
